8.44818	0.251553	0	0	8.44818	0.251553	8.45	0.25	-3.00027	0
8.45582	0.253997	1.03451e-11	3.30939e-12	8.45582	0.253997	8.45	0.25	0	0
8.23962	0.24916	-1.96719	-0.0440115	8.23962	0.24916	8.25	0.25	-1.81978	0
7.88402	0.178038	-2.73336	-0.365784	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.56568	0.15306	-2.88855	-0.32576	7.54016	0.159641	7.55	0.15	-2.99982	0
7.3009	0.0708297	-2.73269	-0.461433	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.02803	-0.0176976	-2.65374	-0.569564	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.79245	-0.168697	-2.48735	-0.831199	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.59121	-0.352243	-2.34233	-1.13852	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.45257	-0.553185	-2.04369	-1.40942	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.33945	-0.87538	-1.69364	-1.93274	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.20339	-1.16783	-1.53668	-2.1829	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
6.19776	-1.53132	-1.02684	-2.56864	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
6.1681	-1.86673	-0.798627	-2.8135	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
6.21102	-2.19098	-0.415183	-2.94746	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
6.25497	-2.53308	-0.135504	-3.00282	6.34927	-2.55175	6.35	-2.55	0	-2.72611
6.33504	-2.85299	0.160625	-2.97083	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
6.39445	-3.14995	0.295867	-2.96968	6.44119	-3.14955	6.45	-3.15	0	-2.99754
6.48493	-3.46698	0.47676	-2.94112	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
8.16392	0.820574	-1.1485	-1.32056	8.56759	0.241943	8.45	0.25	0	0
